userID,subID,start,end,tier,price
4,1,08/05/2020 20:19,08/05/2020 20:19,Basic,2
5,2,08/06/2009 06:13,03/10/2013 22:02,Basic,2
8,3,06/02/2011 08:53,06/11/2015 20:06,Free,0
2,4,19/11/2011 16:32,19/11/2011 16:32,Free,0
9,5,04/07/2006 06:48,25/03/2020 16:08,Basic,2
2,6,02/02/2007 19:15,07/11/2014 09:49,VVIP,10
3,7,24/12/2008 19:37,19/07/2017 15:17,VVIP,10
4,8,05/02/2018 15:52,05/02/2018 15:52,VVIP,10
8,9,09/01/2019 03:43,09/01/2019 03:43,Free,0
2,10,22/12/2016 17:10,19/10/2019 03:17,Basic,2
1,11,06/01/2020 11:28,06/01/2020 11:28,Free,0
3,12,19/08/2014 19:51,01/12/2019 02:36,Free,0
3,13,23/05/2006 06:21,01/12/2014 07:36,Basic,2
6,14,17/04/2019 20:53,17/04/2019 20:53,VVIP,10
10,15,14/09/2011 10:58,09/08/2013 10:43,Free,0
1,16,28/08/2017 06:38,28/08/2017 06:38,Basic,2
9,17,15/07/2011 13:54,15/07/2011 13:54,VIP,5
6,18,12/04/2012 13:32,12/04/2012 13:32,VIP,5
8,19,23/10/2007 01:09,21/11/2017 10:15,Basic,2
8,20,08/08/2007 17:21,08/12/2013 15:28,VVIP,10
5,21,26/07/2009 10:38,27/07/2020 14:56,Free,0
7,22,19/11/2004 16:54,25/10/2007 15:45,Free,0
4,23,24/09/2011 20:27,19/03/2013 21:20,VIP,5
6,24,01/08/2009 12:00,01/08/2013 00:08,VIP,5
9,25,19/06/2016 01:44,31/05/2017 08:42,VIP,5
9,26,01/10/2020 07:04,01/10/2020 07:04,Basic,2
9,27,01/04/2016 10:07,01/04/2016 10:07,VIP,5
1,28,01/10/2005 11:33,21/03/2007 20:58,VIP,5
3,29,13/09/2008 18:39,13/01/2010 10:33,VVIP,10
4,30,17/05/2007 05:08,23/07/2011 22:03,Free,0
4,31,21/02/2009 18:49,02/01/2011 17:36,Basic,2
6,32,22/11/2014 09:28,22/11/2014 09:28,VVIP,10
8,33,29/06/2009 05:32,05/08/2013 22:16,Free,0
5,34,26/08/2018 17:30,26/08/2018 17:30,Basic,2
2,35,18/05/2010 08:40,18/05/2010 08:40,Free,0
4,36,03/07/2013 20:55,03/07/2013 20:55,Basic,2
4,37,18/09/2005 09:52,02/09/2007 02:33,VIP,5
6,38,31/05/2014 16:00,31/05/2014 16:00,Free,0
4,39,10/09/2009 00:38,22/07/2020 21:53,VIP,5
9,40,11/04/2020 16:03,11/04/2020 16:03,VIP,5
5,41,24/11/2014 08:48,24/11/2014 08:48,Basic,2
4,42,14/07/2015 05:41,14/07/2015 05:41,Basic,2
2,43,11/07/2014 19:37,11/07/2014 19:37,VVIP,10
1,44,27/12/2006 11:12,15/02/2020 08:55,Free,0
5,45,16/07/2018 17:14,16/07/2018 17:14,Free,0
1,46,04/03/2005 10:09,27/11/2009 22:24,VVIP,10
9,47,21/01/2019 17:37,21/01/2019 17:37,VVIP,10
9,48,17/12/2008 04:26,11/11/2018 17:41,Free,0
7,49,02/06/2009 21:12,20/09/2018 23:24,VVIP,10
4,50,17/07/2005 11:51,08/12/2016 10:20,Basic,2
3,51,12/05/2011 13:47,16/11/2018 15:53,VVIP,10
2,52,27/07/2009 01:01,27/07/2009 01:01,Free,0
1,53,22/03/2011 04:30,27/04/2016 18:13,VVIP,10
3,54,26/07/2019 00:28,26/07/2019 00:28,Free,0
5,55,01/05/2006 14:50,14/11/2008 17:43,VIP,5
2,56,21/07/2010 07:44,30/07/2015 16:13,Basic,2
2,57,16/11/2010 20:39,30/01/2017 14:06,VIP,5
10,58,30/06/2014 13:59,30/06/2014 13:59,VIP,5
7,59,19/05/2005 10:12,27/03/2006 04:57,Basic,2
8,60,03/04/2016 08:01,03/04/2016 08:01,Free,0
9,61,02/04/2018 22:22,11/05/2019 17:34,VVIP,10
5,62,16/04/2018 05:47,16/04/2018 05:47,Free,0
9,63,24/11/2009 21:48,24/11/2009 21:48,VIP,5
4,64,21/09/2011 00:31,12/12/2013 08:43,VVIP,10
7,65,11/03/2012 11:28,07/12/2013 19:18,VVIP,10
8,66,30/03/2014 16:15,30/03/2014 16:15,Free,0
10,67,15/01/2010 14:01,29/07/2020 15:09,VVIP,10
5,68,28/06/2011 23:28,25/03/2015 05:16,Free,0
9,69,20/08/2019 20:03,20/08/2019 20:03,VIP,5
5,70,12/11/2004 17:28,15/01/2016 23:42,Free,0
4,71,19/07/2009 23:46,19/07/2009 23:46,Basic,2
7,72,22/09/2014 13:16,11/02/2020 22:29,Basic,2
7,73,14/12/2011 01:58,20/07/2017 00:17,VVIP,10
4,74,21/08/2006 22:05,01/11/2012 06:55,Basic,2
3,75,13/12/2008 21:01,18/11/2017 07:36,VVIP,10
1,76,13/03/2017 03:22,23/09/2019 09:52,Basic,2
2,77,15/06/2020 11:44,15/06/2020 11:44,VIP,5
4,78,23/08/2018 05:04,23/08/2018 05:04,VVIP,10
4,79,23/08/2006 15:00,12/12/2019 18:53,VVIP,10
6,80,03/06/2014 08:02,03/06/2014 08:02,Free,0
9,81,29/11/2011 09:28,21/08/2020 05:40,Basic,2
1,82,29/12/2018 14:23,29/12/2018 14:23,VIP,5
3,83,21/01/2018 23:34,21/01/2018 23:34,VIP,5
3,84,04/05/2020 13:38,04/05/2020 13:38,VVIP,10
1,85,13/10/2014 07:13,10/05/2020 04:05,VVIP,10
9,86,05/09/2012 05:20,05/09/2012 05:20,Basic,2
9,87,20/07/2016 19:45,20/07/2016 19:45,Free,0
8,88,02/09/2005 10:06,21/03/2019 12:16,Basic,2
9,89,05/10/2018 09:36,05/10/2018 09:36,Basic,2
4,90,09/05/2007 04:57,17/06/2008 16:54,VIP,5
2,91,10/11/2018 15:36,10/11/2018 15:36,Basic,2
1,92,29/09/2012 03:27,29/09/2012 03:27,VIP,5
1,93,24/04/2009 21:41,10/12/2012 21:18,VVIP,10
9,94,29/10/2011 00:36,20/08/2017 08:43,Basic,2
6,95,03/12/2010 03:48,11/05/2018 18:53,Basic,2
8,96,06/01/2006 20:09,19/04/2013 17:06,Free,0
8,97,31/12/2016 18:31,31/12/2016 18:31,Basic,2
1,98,26/05/2014 18:05,01/12/2018 19:18,VIP,5
2,99,26/01/2010 16:16,03/04/2016 06:18,Basic,2
10,100,19/06/2010 01:00,20/04/2018 00:39,Free,0
